                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78913,                 1.1163,                 1.2969,                0.59654,                0.51547,                0.55907,                0.32878,                 1.6864,                 1.9161,                 2.1054,             0.00059737,             0.00059737,             0.00059737
                     36,                0.79544,                 1.1176,                 1.2976,                0.70231,                0.45304,                 0.5904,                 0.3328,                 1.7043,                 1.6728,                 2.1745,             0.00059383,             0.00059383,             0.00059383
                     37,                0.79069,                 1.0623,                 1.2932,                0.62705,                0.52676,                  0.604,                0.33263,                 1.6593,                 1.5309,                 2.1057,              0.0005903,              0.0005903,              0.0005903
                     38,                0.78657,                 1.0507,                 1.2815,                 0.6675,                 0.4304,                0.57479,                0.32583,                 1.6942,                 1.9203,                 2.0934,             0.00058677,             0.00058677,             0.00058677
                     39,                0.76164,                 1.0402,                 1.2667,                0.64751,                0.53608,                0.61785,                0.34321,                 1.6881,                 1.5682,                 2.1362,             0.00058323,             0.00058323,             0.00058323
                     40,                0.77967,                 1.0461,                 1.2849,                0.68501,                0.53055,                0.58703,                0.33245,                 1.7448,                 1.6824,                 2.1739,              0.0005797,              0.0005797,              0.0005797
                     41,                0.77506,                 1.0346,                  1.278,                0.52327,                0.61293,                0.60826,                0.33293,                 1.6452,                 1.4853,                 2.0695,             0.00057616,             0.00057616,             0.00057616
                     42,                0.78063,                 1.0725,                 1.2945,                0.65545,                0.49244,                0.58139,                0.33904,                 1.6988,                 1.6304,                 2.2074,             0.00057263,             0.00057263,             0.00057263
                     43,                0.75393,                 1.0092,                 1.2735,                0.59325,                0.49611,                0.54939,                  0.325,                 1.6675,                 1.9023,                 2.1404,             0.00056909,             0.00056909,             0.00056909
                     44,                0.76382,                 1.0074,                  1.267,                 0.5492,                0.54867,                0.58167,                0.33658,                 1.6364,                 1.8121,                 2.0755,             0.00056556,             0.00056556,             0.00056556
                     45,                0.74467,                0.99517,                 1.2631,                0.65347,                0.57966,                0.58533,                0.32787,                 1.7223,                 1.6231,                 2.1361,             0.00056203,             0.00056203,             0.00056203
                     46,                 0.7529,                 1.0029,                 1.2655,                0.61071,                0.50483,                0.57827,                0.33295,                 1.6659,                 1.6923,                 2.0922,             0.00055849,             0.00055849,             0.00055849
                     47,                0.76529,                 1.0112,                 1.2821,                0.60517,                0.58071,                0.62033,                0.35965,                 1.6649,                 1.6792,                 2.0774,             0.00055496,             0.00055496,             0.00055496
                     48,                0.74569,                0.95568,                 1.2562,                0.62121,                0.42519,                0.52858,                 0.3156,                  1.696,                  1.801,                 2.2358,             0.00055142,             0.00055142,             0.00055142
                     49,                0.70805,                 0.9198,                  1.239,                0.48355,                0.62694,                0.60839,                0.35909,                 1.7044,                 1.5636,                 2.1218,             0.00054789,             0.00054789,             0.00054789
                     50,                0.70663,                0.90117,                 1.2289,                0.68421,                0.52077,                0.60298,                0.32571,                 1.7197,                 1.6633,                 2.1372,             0.00054435,             0.00054435,             0.00054435
                     51,                0.73231,                 0.9151,                 1.2455,                0.72571,                0.53313,                0.62449,                0.36434,                 1.7181,                 1.7681,                 2.2149,             0.00054082,             0.00054082,             0.00054082
                     52,                0.71314,                0.89802,                 1.2429,                  0.632,                0.56929,                0.60161,                0.34422,                 1.7025,                  1.757,                 2.1575,             0.00053728,             0.00053728,             0.00053728
                     53,                0.70447,                0.89898,                 1.2321,                0.63509,                0.59511,                0.63687,                0.36744,                 1.7149,                 1.5105,                 2.1952,             0.00053375,             0.00053375,             0.00053375
                     54,                0.71034,                0.88411,                 1.2335,                0.65521,                0.48814,                0.56991,                0.34323,                 1.6967,                 1.7741,                 2.1209,             0.00053022,             0.00053022,             0.00053022
                     55,                0.69346,                0.86961,                 1.2225,                0.55581,                0.54357,                0.58024,                0.33611,                 1.7017,                  1.773,                 2.1786,             0.00052668,             0.00052668,             0.00052668
                     56,                 0.6974,                0.88598,                 1.2375,                0.66266,                0.52785,                0.61173,                 0.3346,                 1.7783,                 1.5959,                 2.2153,             0.00052315,             0.00052315,             0.00052315
                     57,                0.69439,                0.86859,                 1.2278,                0.60956,                0.56805,                0.60225,                0.33634,                  1.766,                 1.7853,                 2.2028,             0.00051961,             0.00051961,             0.00051961
                     58,                0.69122,                0.84373,                 1.2231,                0.70001,                0.59365,                0.65174,                0.37938,                 1.7519,                 1.5916,                 2.1972,             0.00051608,             0.00051608,             0.00051608
                     59,                0.68078,                0.85368,                 1.2127,                 0.6204,                0.56436,                0.56305,                0.31572,                 1.7607,                 1.7306,                 2.2295,             0.00051254,             0.00051254,             0.00051254
                     60,                0.70087,                0.85161,                 1.2259,                0.69996,                0.48708,                0.60351,                0.34403,                 1.7289,                 1.6786,                 2.2416,             0.00050901,             0.00050901,             0.00050901
                     61,                0.67837,                0.81561,                 1.2089,                0.59109,                0.58865,                0.61002,                0.35281,                 1.6956,                 1.6563,                 2.1378,             0.00050548,             0.00050548,             0.00050548
                     62,                0.67919,                0.80597,                 1.2086,                0.56382,                0.64016,                0.61132,                0.37291,                 1.7421,                 1.7225,                 2.1768,             0.00050194,             0.00050194,             0.00050194
                     63,                0.65667,                0.78208,                 1.1851,                0.68315,                0.57752,                0.64672,                0.37787,                 1.7658,                 1.5989,                  2.272,             0.00049841,             0.00049841,             0.00049841
                     64,                0.65539,                0.78918,                 1.1993,                0.67576,                 0.5583,                0.61923,                0.36916,                 1.6764,                 1.6762,                  2.184,             0.00049487,             0.00049487,             0.00049487
                     65,                0.66964,                0.78043,                  1.201,                0.56864,                0.54998,                 0.6043,                0.35618,                 1.6512,                 1.7649,                 2.0932,             0.00049134,             0.00049134,             0.00049134
                     66,                0.67402,                0.81038,                 1.2128,                0.70416,                0.43592,                0.55014,                0.33599,                 1.7589,                  1.899,                 2.2498,              0.0004878,              0.0004878,              0.0004878
                     67,                0.64394,                0.76959,                 1.1858,                0.68194,                0.52351,                0.60307,                0.32404,                 1.7916,                 1.5542,                 2.2466,             0.00048427,             0.00048427,             0.00048427
                     68,                0.65969,                0.77247,                 1.2014,                0.66713,                0.47845,                0.57745,                0.33326,                 1.7318,                 1.8363,                 2.2206,             0.00048074,             0.00048074,             0.00048074
                     69,                0.64422,                0.74256,                 1.1798,                0.74445,                0.52215,                0.60439,                0.35091,                 1.7824,                 1.9982,                 2.2549,              0.0004772,              0.0004772,              0.0004772
                     70,                0.65896,                 0.7752,                 1.1916,                0.64246,                0.53068,                0.60844,                0.36009,                 1.6988,                 1.7844,                  2.224,             0.00047367,             0.00047367,             0.00047367
                     71,                0.63398,                0.75514,                 1.1865,                0.63374,                0.59948,                0.61746,                0.34878,                 1.7068,                 1.8456,                  2.204,             0.00047013,             0.00047013,             0.00047013
                     72,                  0.656,                0.73104,                 1.1842,                0.57663,                0.60131,                 0.6156,                0.36931,                 1.7284,                 1.7352,                 2.2262,              0.0004666,              0.0004666,              0.0004666
                     73,                0.64019,                0.74257,                 1.1871,                 0.7774,                0.47786,                0.60714,                0.36942,                 1.7211,                 1.7652,                 2.2094,             0.00046306,             0.00046306,             0.00046306
                     74,                 0.6413,                0.74752,                 1.1909,                0.66004,                0.53993,                0.59299,                0.34858,                 1.7096,                   1.88,                 2.2429,             0.00045953,             0.00045953,             0.00045953
                     75,                0.63043,                0.73303,                 1.1787,                0.76834,                0.51652,                 0.6314,                0.35607,                 1.7209,                 1.6977,                 2.2081,               0.000456,               0.000456,               0.000456
                     76,                0.61103,                0.71474,                 1.1682,                0.71283,                0.56759,                0.63531,                0.36513,                 1.7444,                 1.7398,                 2.2517,             0.00045246,             0.00045246,             0.00045246
                     77,                0.61397,                0.71103,                 1.1666,                0.67776,                0.56426,                0.64498,                0.35133,                 1.7974,                 1.7911,                 2.3089,             0.00044893,             0.00044893,             0.00044893
                     78,                0.61598,                 0.7102,                 1.1643,                0.77975,                0.45332,                0.58775,                0.35832,                 1.7504,                 1.8619,                 2.3026,             0.00044539,             0.00044539,             0.00044539
                     79,                0.61568,                0.68211,                 1.1581,                0.62343,                0.61889,                0.63594,                0.35924,                 1.7333,                 1.7768,                 2.2767,             0.00044186,             0.00044186,             0.00044186
                     80,                0.60211,                0.67812,                  1.153,                0.67376,                0.51736,                0.58727,                0.35669,                 1.6945,                 1.7952,                 2.2428,             0.00043832,             0.00043832,             0.00043832
                     81,                0.60299,                0.67055,                 1.1484,                0.66968,                0.53677,                0.62504,                 0.3574,                 1.7628,                 1.8222,                 2.3081,             0.00043479,             0.00043479,             0.00043479
                     82,                0.60568,                0.69484,                 1.1565,                0.66091,                 0.5928,                0.66116,                0.34994,                 1.7491,                 1.7359,                  2.231,             0.00043126,             0.00043126,             0.00043126
                     83,                0.58423,                0.65164,                 1.1333,                0.60802,                0.52941,                0.58262,                 0.3437,                 1.8059,                 1.9114,                 2.3311,             0.00042772,             0.00042772,             0.00042772
                     84,                0.60519,                 0.6628,                 1.1537,                 0.7654,                0.50557,                0.61606,                0.34579,                 1.8128,                 1.8263,                 2.3692,             0.00042419,             0.00042419,             0.00042419
                     85,                0.59254,                0.64323,                 1.1451,                0.64681,                0.57121,                0.58728,                0.35083,                 1.7105,                 1.9087,                 2.2854,             0.00042065,             0.00042065,             0.00042065
                     86,                0.59128,                0.65622,                 1.1544,                0.63408,                0.53249,                0.56436,                0.33621,                 1.7627,                 1.9347,                 2.3352,             0.00041712,             0.00041712,             0.00041712
                     87,                0.59391,                0.64898,                 1.1423,                0.66823,                0.51997,                0.58674,                0.31391,                  1.787,                 1.8091,                 2.2641,             0.00041358,             0.00041358,             0.00041358
                     88,                0.58303,                0.65298,                 1.1447,                0.65867,                0.53844,                0.59953,                0.34684,                 1.7796,                 1.9149,                 2.2543,             0.00041005,             0.00041005,             0.00041005
                     89,                 0.5824,                0.63664,                 1.1363,                0.67175,                0.55879,                0.61224,                0.34839,                 1.8374,                 1.7222,                 2.4175,             0.00040652,             0.00040652,             0.00040652
                     90,                0.56513,                 0.6137,                 1.1278,                0.71463,                0.50972,                0.60358,                0.35555,                 1.7529,                 1.8946,                 2.2906,             0.00040298,             0.00040298,             0.00040298
                     91,                0.58392,                0.62042,                 1.1477,                0.59058,                 0.5652,                0.59998,                 0.3531,                 1.7641,                 1.7587,                 2.3577,             0.00039945,             0.00039945,             0.00039945
                     92,                0.57908,                0.62903,                 1.1351,                0.79348,                0.50671,                0.61694,                0.35613,                 1.7517,                 1.7918,                 2.3459,             0.00039591,             0.00039591,             0.00039591
                     93,                0.55759,                0.61122,                 1.1259,                0.60156,                0.57597,                0.60847,                0.36268,                 1.6904,                 1.8686,                 2.1795,             0.00039238,             0.00039238,             0.00039238
                     94,                0.55605,                0.59522,                 1.1209,                 0.6756,                0.53067,                0.61388,                0.36465,                 1.6853,                 1.7389,                 2.2285,             0.00038884,             0.00038884,             0.00038884
                     95,                0.55832,                0.60292,                 1.1268,                0.64746,                0.55894,                0.64056,                0.36606,                  1.704,                 1.7285,                 2.2563,             0.00038531,             0.00038531,             0.00038531
                     96,                0.56111,                0.61887,                 1.1301,                0.71119,                0.53775,                0.60779,                0.37776,                  1.647,                 1.8106,                 2.2193,             0.00038178,             0.00038178,             0.00038178
                     97,                0.55051,                 0.6013,                 1.1106,                0.82745,                0.46956,                0.62616,                0.37424,                 1.7515,                  1.864,                 2.3603,             0.00037824,             0.00037824,             0.00037824
                     98,                0.54559,                0.58264,                 1.1123,                0.63795,                0.59983,                 0.6226,                0.35149,                 1.7759,                 1.8049,                 2.4032,             0.00037471,             0.00037471,             0.00037471
                     99,                0.54565,                0.56991,                 1.1166,                0.65206,                 0.5873,                0.62702,                0.37853,                 1.6672,                  1.684,                 2.2176,             0.00037117,             0.00037117,             0.00037117
                    100,                0.53267,                0.57786,                 1.1093,                 0.7176,                0.52975,                0.60799,                0.35347,                  1.829,                 1.9069,                 2.4142,             0.00036764,             0.00036764,             0.00036764
                    101,                0.53396,                0.58827,                 1.1094,                0.63975,                0.57344,                0.61415,                0.36356,                 1.7689,                 1.8266,                 2.3202,              0.0003641,              0.0003641,              0.0003641
                    102,                0.52518,                0.57317,                 1.0959,                0.69563,                0.54076,                0.61323,                0.36531,                 1.6908,                 1.9653,                 2.2589,             0.00036057,             0.00036057,             0.00036057
                    103,                0.52458,                 0.5617,                 1.1079,                0.71437,                0.52037,                0.62354,                0.37297,                 1.7357,                 1.9151,                 2.3009,             0.00035704,             0.00035704,             0.00035704
                    104,                0.52074,                0.54387,                 1.1001,                0.66982,                0.56456,                0.62527,                0.36522,                 1.7731,                 1.8572,                 2.3088,              0.0003535,              0.0003535,              0.0003535
                    105,                0.52708,                0.55344,                 1.0973,                0.62598,                0.63593,                0.64121,                0.36304,                 1.7902,                 1.7829,                 2.4258,             0.00034997,             0.00034997,             0.00034997
                    106,                0.51485,                 0.5401,                 1.0854,                0.73748,                0.54764,                0.61476,                0.36943,                 1.7113,                 1.9348,                 2.3087,             0.00034643,             0.00034643,             0.00034643
                    107,                0.52787,                0.55966,                 1.0955,                0.74291,                0.55836,                0.63168,                0.39239,                 1.6687,                 1.8129,                 2.2204,              0.0003429,              0.0003429,              0.0003429
                    108,                  0.508,                0.54391,                 1.0911,                0.64699,                0.59432,                0.59953,                0.34267,                 1.7282,                 1.7803,                 2.3329,             0.00033936,             0.00033936,             0.00033936
                    109,                0.51224,                0.54002,                 1.0903,                0.79773,                0.51764,                0.62626,                 0.3651,                 1.7418,                 1.8173,                 2.3118,             0.00033583,             0.00033583,             0.00033583
                    110,                  0.506,                0.52696,                 1.0815,                0.72845,                0.57265,                0.64929,                0.35735,                 1.8516,                 1.6939,                 2.5033,              0.0003323,              0.0003323,              0.0003323
                    111,                0.52273,                0.53925,                 1.0954,                0.72381,                0.58383,                0.64223,                0.40008,                  1.715,                 1.7213,                 2.3168,             0.00032876,             0.00032876,             0.00032876
                    112,                0.50996,                0.53119,                 1.0856,                0.70224,                0.54023,                0.56343,                0.33774,                 1.8384,                 1.9795,                 2.4612,             0.00032523,             0.00032523,             0.00032523
